DayOrder,DayOfWeekStr,starttime,endtime,permit,PermitLocation,locationdesc,optionaltext,locationid,scheduleid,start24,end24,CNN,Addr_Date_Create,Addr_Date_Modified,block,lot,ColdTruck,Applicant,X,Y,Latitude,Longitude,Location
0,Sunday,10AM,11AM,14MFF-0092,368 ELM ST,Set-up at 340 Elm St: 10:10am-10:15am,"Cold Truck: Sandwiches, Noodles,  Pre-packaged Snacks, Candy, Desserts Various Beverages",532525,72372,10:00,11:00,5204000,10/24/2011 04:37:26 PM,10/24/2011 04:37:44 PM,0761,033,Y,May Sun Kitchen,6005872.78586,2112625.25178,37.7811982218612,-122.423315547721,
0,Sunday,10AM,11PM,14MFF-0057,370 DRUMM ST,Set-up at 10 Washington St: 10:00am-11:00pm,"St. Louis Style Ribs, Pulled Pork Sandwich, Smoked Brisket, Smoked Chicken Drumsticks, Spinach Salad, Cole Slaw, Baked Beans, Mashed Potatoes, Grilled Asparagus, Mac & Cheese, Potato Salad, Buttermil Pie, Soda, Water",526421,70712,10:00,23:00,13403000,10/25/2011 08:21:31 AM,10/25/2011 08:21:57 AM,0201,012,N,"Covered Dish Productions, LLC. dba. The Rib Whip",6013588.43798,2118217.06525,37.796984468437,-122.397015212071,
0,Sunday,10AM,3PM,11MFF-0039,333 MARKET ST,Located on the South Wst Corner of Market & Beale.  2nd Yellow Parking Metered Space.,"Indian Style: BBQ, Variety of Curries, Rice, Wraps, Breads (Naan, Rotis, Parathas), Desserts, Pizza.  Beverages, Condiments, Indian Soups, Salads & Appetizer Varieties.",305715,405,10:00,15:00,2863000,03/07/2011 04:06:03 PM,03/07/2011 04:10:56 PM,3710,020,N,Bombay Blvd.,6013387.52482,2116443.46243,37.7921033879545,-122.397585967453,
0,Sunday,10AM,3PM,11MFF-0039,50 MAIN ST,"Located 32' from the pedestrian crosswalk, crossing Main St.","Indian Style: BBQ, Variety of Curries, Rice, Wraps, Breads (Naan, Rotis, Parathas), Desserts, Pizza.  Beverages, Condiments, Indian Soups, Salads & Appetizer Varieties.",305709,383,10:00,15:00,8627000,03/07/2011 03:39:16 PM,03/07/2011 04:00:38 PM,3711,018,N,Bombay Blvd.,6013914.11331,2116552.08545,37.7924309489844,-122.395771565795,
0,Sunday,10AM,3PM,11MFF-0040,561 MISSION ST,Yellow Zone,"Indian Style: BBQ, Variety of Curries, Rice, Wraps, Breads (Naan, Rotis, Parathas), Desserts, Pizza.  Beverages, Condiments, Indian Soups, Salads & Appetizer Varieties.",305727,419,10:00,15:00,9090000,03/07/2011 04:27:00 PM,03/07/2011 04:29:04 PM,3721,079,,Bombay Blvd.,6012947.16768,2115156.26681,37.7885445211484,-122.399019231479,
0,Sunday,10AM,3PM,11MFF-0040,86 03RD ST,"Located in the yellow zone, red parking metered spot, third spot.","Indian Style: BBQ, Variety of Curries, Rice, Wraps, Breads (Naan, Rotis, Parathas), Desserts, Pizza.  Beverages, Condiments, Indian Soups, Salads & Appetizer Varieties.",305735,433,10:00,15:00,165000,03/07/2011 04:36:55 PM,03/07/2011 04:38:19 PM,3706,093,,Bombay Blvd.,6011984.13271,2114388.83459,37.7863836212372,-122.402297224865,
0,Sunday,10AM,4PM,14MFF-0103,401 TREAT AVE,Located on the West side of the Harrison St frontage at the corner of 17th St,"Tacos, Burritos, Tortas, Quesadillas, Drinks",547025,736205,10:00,16:00,6746000,03/04/2011 11:50:24 AM,03/04/2011 11:56:57 AM,3573,023,N,El Tonayense #60,6008569.45364,2106219.67883,37.7637618472594,-122.413533208474,
0,Sunday,10AM,6PM,14MFF-0038,185 BERRY ST,Located 200LF SW of the 3rd St and Berry St intersection,everything but hot dogs,526172,68264,10:00,18:00,2953000,05/07/2013 04:28:43 PM,,3803,005,N,"Off the Grid Services, LLC",6014611.60657,2110567.89709,37.7760385105764,-122.392939332071,
0,Sunday,10AM,6PM,14MFF-0114,200 SHOTWELL ST,,"Tacos, Burritos, Tortas, Quesadillas, Mexican Drinks, Aguas Frescas",560703,736642,10:00,18:00,11834000,03/04/2011 10:30:43 AM,07/21/2011 11:23:49 AM,3571,014,N,"Santana ESG, Inc.",6007736.69666,2106759.30311,37.7651967350509,-122.416451692902,
0,Sunday,10AM,6PM,14MFF-0097,3065 25TH ST,,"Tacos, burritos, soda & juice",534670,72526,10:00,18:00,1428000,07/30/2013 04:44:01 PM,07/30/2013 04:44:22 PM,4271,038,N,GOZA GOZA TACO,6009155.07709,2101564.93455,37.7510138381744,-122.411178883992,
